165;59
161;56
171;72
179;77
161;58
165;57
178;62
166;60
161;66
165;68
187;84
165;63
173;70
171;67
169;73
173;75
164;61
169;60
162;53
166;55
173;69
166;67
166;55
170;73
165;68
168;62
163;64
164;59
176;70
166;63
167;64
176;65
166;60
164;59
173;74
174;67
167;53
171;67
179;80
172;70
167;65
164;60
164;61
179;69
170;69
173;72
162;61
167;63
173;69
174;74
170;65
160;60
171;64
173;77
168;54
172;70
175;59
164;61
167;65
169;57
166;55
162;56
164;62
171;76
161;52
180;65
168;68
172;69
173;66
169;61
165;63
169;75
163;63
175;67
171;60
167;53
164;57
158;60
174;66
171;72
179;71
167;63
173;69
167;58
161;52
171;60
172;74
160;50
159;68
163;72
167;63
172;69
165;64
172;73
162;53
180;69
172;69
171;67
180;69
166;57
